Temperature,RelativeHumidity,AirPressure,LocationLat,LocationLon,LocationSource,Timestamp
22.73,65.03,1008.6,52.621227,1.2991619,TTN Manual,2018-10-15 01:56:59
22.63,66.53,1009,52.621227,1.2991619,TTN Manual,2018-10-15 03:08:59
22.58,66.48,1008.7,52.61469,1.3071696,TTN Manual,2018-10-15 04:20:59
22.51,66.6,1008.1,52.61469,1.3071696,TTN Manual,2018-10-15 05:32:59
22.42,67.08,1008.2,52.61469,1.3071696,TTN Manual,2018-10-15 06:44:59
22.33,66.91,1008.4,52.615997,1.3055681,TTN Manual,2018-10-15 07:56:59
21.2,66.07,1007.5,52.627766,1.2911543,TTN Manual,2018-10-15 09:08:59
21.21,64.5,1009.4,52.62726,1.2917746,TTN Manual,2018-10-15 10:20:59
21.13,63.78,1010,52.61655,1.5652193,TTN Manual,2018-10-15 11:32:59
21.46,62.93,1010.3,52.61015,1.6926031,TTN Manual,2018-10-15 12:44:59
21.94,63.2,1010.4,52.134914,-0.439567,TTN Manual,2018-10-15 13:56:58
21.48,61.7,1011.2,52.631153,1.29619,TTN Manual,2018-10-15 15:09:00
21.47,62.74,1011.4,52.629726,1.3220257,TTN Manual,2018-10-15 16:21:01
21.62,62.85,1012.3,52.631184,1.2963647,TTN Manual,2018-10-15 17:32:59
22.13,62,1012.5,52.63121,1.2963195,TTN Manual,2018-10-15 18:44:59
21.63,56.11,1024.5,52.61469,1.3071696,TTN Manual,2018-10-20 02:01:05
21.85,55.56,1026.6,52.61469,1.3071696,TTN Manual,2018-10-20 08:01:05
21.75,55.14,1026.2,52.61469,1.3071696,TTN Manual,2018-10-20 09:13:05
21.86,55.03,1027.2,52.61469,1.3071696,TTN Manual,2018-10-20 11:37:05
21.51,56.86,1023.2,52.61469,1.3071696,TTN Manual,2018-10-21 06:49:05
21.49,56.91,1021.2,52.61469,1.3071696,TTN Manual,2018-10-21 15:13:05
21.64,57.34,1021.2,52.627766,1.2911543,TTN Manual,2018-10-21 16:25:05
21.71,57.56,1021.1,52.61469,1.3071696,TTN Manual,2018-10-21 17:37:05
21.25,57.98,1026.6,52.61469,1.3071696,TTN Manual,2018-10-22 02:01:05
21.07,57.03,1027.4,52.61469,1.3071696,TTN Manual,2018-10-22 03:13:08
20.84,55.87,1028,52.61469,1.3071696,TTN Manual,2018-10-22 04:27:31
20.63,54.88,1028.7,52.61469,1.3071696,TTN Manual,2018-10-22 05:37:05
20.18,53.08,1029.9,52.61469,1.3071696,TTN Manual,2018-10-22 08:01:02
19.96,52.52,1030.8,52.61469,1.3071696,TTN Manual,2018-10-22 09:13:01
19.78,52.4,1032,52.61469,1.3071696,TTN Manual,2018-10-22 11:39:30
20,53.25,1032.9,52.61469,1.3071696,TTN Manual,2018-10-22 14:03:30
20.19,53.29,1031.9,52.61469,1.3071696,TTN Manual,2018-10-22 18:49:01
19.56,51.63,1029.6,52.61469,1.3071696,TTN Manual,2018-10-23 00:49:05
19.31,51.39,1027.2,52.61469,1.3071696,TTN Manual,2018-10-23 03:15:30
19.19,51.31,1026,52.61469,1.3071696,TTN Manual,2018-10-23 04:27:30
18.84,51.25,1023.8,52.61469,1.3071696,TTN Manual,2018-10-23 08:01:05
18.74,51.26,1023.3,52.61469,1.3071696,TTN Manual,2018-10-23 09:15:46
18.65,51.66,1022.8,52.61469,1.3071696,TTN Manual,2018-10-23 11:37:05
18.94,52.35,1021.2,52.61469,1.3071696,TTN Manual,2018-10-23 16:27:30
19,52.72,1022.2,52.61469,1.3071696,TTN Manual,2018-10-23 20:03:30
18.92,53.25,1021.7,52.61469,1.3071696,TTN Manual,2018-10-23 22:25:01
18.93,53.54,1022,52.61469,1.3071696,TTN Manual,2018-10-23 23:37:01
18.75,54.92,1022.3,52.61469,1.3071696,TTN Manual,2018-10-24 06:49:05
18.69,55.1,1022.7,52.61469,1.3071696,TTN Manual,2018-10-24 08:01:01
18.63,55.26,1023.2,52.61469,1.3071696,TTN Manual,2018-10-24 09:13:01
18.66,55.46,1024.2,52.61469,1.3071696,TTN Manual,2018-10-24 11:39:30
18.84,55.99,1023.7,52.61469,1.3071696,TTN Manual,2018-10-24 14:03:30
18.93,56.17,1023.1,52.61469,1.3071696,TTN Manual,2018-10-24 15:13:01
19.67,53.3,1017.6,52.61469,1.3071696,TTN Manual,2018-10-25 10:25:01
19.66,54.23,1016.9,52.61469,1.3071696,TTN Manual,2018-10-25 12:49:01
19.84,54.89,1016.5,52.61469,1.3071696,TTN Manual,2018-10-25 14:01:01
19.88,55.06,1015.8,52.61469,1.3071696,TTN Manual,2018-10-25 15:15:30
19.84,55.11,1015,52.61469,1.3071696,TTN Manual,2018-10-25 16:27:30
19.87,55.18,1007.3,52.61469,1.3071696,TTN Manual,2018-10-26 04:25:05
19.68,54.3,1004.2,52.61469,1.3071696,TTN Manual,2018-10-26 10:27:29
19.51,54.54,1003.8,52.61469,1.3071696,TTN Manual,2018-10-26 12:49:05
19.55,53.95,1004,52.61469,1.3071696,TTN Manual,2018-10-26 17:39:29
19.55,54.12,1004.7,52.61469,1.3071696,TTN Manual,2018-10-26 18:49:00
19.59,52.21,1005.6,52.61469,1.3071696,TTN Manual,2018-10-27 00:49:01
19.87,52.76,1005.6,52.61469,1.3071696,TTN Manual,2018-10-27 02:03:29
20.02,52.51,1006.1,52.61469,1.3071696,TTN Manual,2018-10-27 03:13:01
